X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE
0,36,34,2,1,5,6,1,6,1,174,1.0,92,29,36,0
1,37,37,0,0,11,17,1,6,1,236,1.0,103,142,34,1
0,3,2,3,5,1,0,2,3,1,174,1.0,110,93,34,1
0,33,32,2,1,7,1,1,6,1,249,1.0,72,29,34,1
0,33,32,2,1,8,3,0,5,1,174,0.0,112,29,43,1
0,45,45,10,3,1,0,1,6,1,303,1.0,72,62,34,1
0,30,35,7,3,7,1,0,5,1,174,0.0,112,29,43,1
0,8,7,7,3,9,8,0,5,1,316,1.0,72,62,34,1
0,49,49,6,5,8,3,1,1,1,316,1.0,103,14,34,1
1,4,4,6,5,15,10,0,5,2,145,1.0,103,29,34,0
1,4,4,6,5,15,10,1,6,1,174,1.0,103,130,34,1
0,33,32,2,1,5,6,0,5,1,174,0.0,72,93,48,1
0,4,4,6,5,5,6,0,5,3,174,3.0,42,29,34,1
1,4,4,6,5,15,10,0,5,1,174,0.0,18,133,46,1
0,7,8,7,3,2,7,3,2,1,316,1.0,72,62,34,1
0,36,34,2,1,4,2,1,6,1,249,1.0,92,29,34,1
0,25,25,9,0,4,2,2,6,1,0,1.0,72,29,34,1
0,36,34,2,1,1,0,1,2,1,0,1.0,92,142,34,1
1,37,37,0,0,11,17,0,5,1,174,1.0,103,115,34,1
0,3,2,3,5,1,0,1,6,1,249,1.0,2,29,34,1
0,21,23,4,1,5,6,1,6,1,174,0.0,18,53,46,1
0,36,34,2,1,1,0,0,5,2,174,0.0,92,93,43,1
0,47,48,7,3,4,2,1,6,1,316,1.0,98,62,34,1
5,22,22,7,3,13,18,1,6,1,316,1.0,92,29,34,1
0,49,49,6,5,5,6,0,5,1,249,1.0,67,29,34,1
0,4,4,6,5,3,5,0,5,1,174,1.0,72,80,34,1
0,4,4,6,5,3,5,0,5,1,0,1.0,103,142,34,1
0,15,14,3,5,4,2,0,5,1,174,0.0,116,133,0,1
0,36,34,2,1,1,0,1,2,1,316,1.0,92,62,34,1
0,21,23,4,1,4,2,0,5,1,174,0.0,111,103,43,1
1,37,37,0,0,11,17,1,6,1,127,1.0,103,77,34,1
0,49,49,6,5,2,7,3,5,2,249,2.0,72,107,34,1
7,21,23,4,1,9,8,2,6,3,174,3.0,112,14,34,1
0,4,4,6,5,7,1,0,5,1,316,1.0,72,62,34,1
0,16,15,0,0,8,3,1,6,1,0,1.0,12,6,34,1
5,22,22,7,3,16,12,1,6,2,0,2.0,34,29,34,1
0,36,34,2,1,6,4,1,2,1,316,1.0,92,142,34,1
1,37,37,0,0,11,17,1,1,1,299,1.0,103,130,34,1
0,11,11,7,3,3,5,2,5,1,316,1.0,12,62,34,1
0,4,4,6,5,5,6,2,6,1,174,1.0,103,29,34,1
0,36,34,2,1,1,0,1,6,1,249,1.0,92,93,34,1
0,36,34,2,1,4,2,0,2,1,299,1.0,92,142,34,1
0,4,4,6,5,4,2,1,6,2,249,2.0,72,62,34,1
1,36,34,2,1,15,10,0,2,1,316,1.0,92,130,34,1
0,48,47,4,1,7,1,1,6,4,158,2.0,103,62,34,0
0,39,39,6,5,4,2,1,6,2,249,2.0,103,80,34,1
0,33,32,2,1,9,8,1,6,1,249,1.0,103,29,34,1
0,21,23,4,1,4,2,1,6,6,12,6.0,103,80,34,0
0,16,15,0,0,1,0,2,2,1,316,1.0,72,142,34,1
0,5,5,3,5,3,5,1,6,2,249,2.0,103,29,34,1
0,21,23,4,1,2,7,3,2,1,249,1.0,2,87,34,1
0,38,38,10,3,3,5,3,6,1,0,1.0,72,0,34,1
0,38,38,10,3,7,1,0,5,1,174,1.0,103,142,34,1
0,4,4,6,5,2,7,1,6,1,249,1.0,112,29,34,1
0,46,46,3,5,7,1,0,5,1,74,0.0,113,142,0,1
0,36,34,2,1,1,0,1,2,1,0,1.0,92,80,34,1
1,4,4,6,5,15,10,0,5,1,174,1.0,109,93,34,1
0,33,32,2,1,6,4,0,5,1,174,0.0,72,93,48,1
0,22,22,7,3,7,1,2,6,2,0,2.0,98,103,34,1
1,22,22,7,3,15,10,0,5,1,174,1.0,72,93,34,1
1,39,39,6,5,15,10,1,6,1,249,1.0,72,80,34,1
0,45,45,10,3,3,5,2,5,1,249,1.0,103,29,34,1
0,19,19,1,3,6,4,1,6,1,249,1.0,103,29,34,1
1,22,22,7,3,15,10,2,2,1,303,1.0,112,142,34,1
1,47,48,7,3,15,10,0,5,1,174,0.0,92,29,0,1
0,3,2,3,5,1,0,1,6,1,249,1.0,103,62,34,1
0,4,4,6,5,5,6,0,5,1,174,1.0,103,29,34,1
1,18,18,9,0,13,18,1,6,2,249,2.0,112,142,34,1
0,22,22,7,3,2,7,2,2,1,303,1.0,72,142,34,1
0,35,30,3,5,1,0,0,5,1,249,1.0,103,29,34,1
0,47,48,7,3,5,6,1,2,1,249,0.0,24,124,34,1
0,45,45,10,3,8,3,4,6,1,174,0.0,112,29,48,1
7,9,10,7,3,9,8,1,5,1,249,1.0,103,130,34,1
0,15,14,3,5,5,6,0,5,1,174,0.0,92,130,0,1
1,36,34,2,1,15,10,0,5,1,174,0.0,92,29,43,1
0,33,32,2,1,7,1,1,6,1,249,1.0,103,62,34,1
0,49,49,6,5,4,2,1,6,1,316,1.0,103,29,34,1
0,2,3,10,3,7,1,1,5,1,174,1.0,112,93,34,1
0,45,45,10,3,3,5,1,6,1,174,0.0,103,29,43,1
7,21,23,4,1,9,8,0,5,1,174,0.0,112,93,0,1
0,4,4,6,5,2,7,0,5,1,174,1.0,72,93,34,1
0,36,34,2,1,1,0,0,5,1,174,0.0,92,93,43,1
0,4,4,6,5,6,4,1,6,1,174,1.0,116,14,34,1
0,4,4,6,5,6,4,2,6,1,174,0.0,18,138,46,1
0,21,23,4,1,2,7,0,5,1,249,1.0,116,29,34,1
0,4,4,6,5,4,2,2,2,1,316,1.0,72,142,34,1
0,4,4,6,5,3,5,2,3,1,249,1.0,103,103,34,1
